Mobile,Email,Status,Last Update,Position,First Name,Last Name,Job Code
(972) 058-7816266,alexandfder.ulik@gmail.com,In Progress,23d/08m/20 22:25,Technical Product Manager,Alex,Ulikrty,JB-31225
(972) 058-7816267,efrgdat.erps@gmail.com,In Progress,20d/09m/20 11:35,Technical Product Manager,Efret,Kazac,JB-31225
(972) 058-7816268,erika.vdgeselova@gmail.com,In Progress,21d/09m/20 14:30,Technical Product Manager,ERIK,VESEL,JB-31225
(972) 058-7816269,michael_kdfgribus@icloud.com,In Progress,01d/09m/20 09:15,Technical Product Manager,Michal,Krib,JB-31225
(972) 058-7816270,nimrfddodg6@gmail.com,In Progress,15d/07m/20 14:17,Technical Product Manager,NIMR,GOTMAN,JB-31225
(972) 058-7816272,avishfday.oshri@gmail.com,Rejected,01d/10m/20 08:51,Technical Product Manager,אבי,אושר,JB-31225
(972) 058-7816273,uridofdr@gmail.com,Withdrawn,06d/09m/20 16:03,Technical Product Manager,אור,דר,JB-31225
(972) 058-7816277,orik.mafdor@gmail.com,Hired,17d/08m/20 13:49,Technical Product Manager,אור,מאור,JB-31225
(972) 058-7816286,eyal.elyakifdm@gmail.com,Rejected,15d/07m/20 10:49,Technical Product Manager,אייל,אלייק,JB-31225
(972) 058-7816288,ltyafffdeeyal@hotmail.com,In Progress,16d/07m/20 18:11,Technical Product Manager,איילה,יפה,JB-31225
(972) 058-7816290,eyalfddmaron@gmail.com,Rejected,15d/07m/20 10:50,Technical Product Manager,איילה,מרום,JB-31225
(972) 058-7816291,eliana.bermfddan@gmail.com,Withdrawn,17d/09m/20 13:35,Technical Product Manager,אלי,ברמן,JB-31225
(972) 058-7816293,elafdad@hotmail.com,In Progress,26d/07m/20 15:47,Technical Product Manager,אלעד,אלה,JB-31225
(972) 058-7816294,annafdd7672@gmail.com,In Progress,21d/09m/20 13:08,Technical Product Manager,אניה,פלדמן,JB-31225
(972) 058-7816297,annaf.nisedfdnbaum@gmail.com,In Progress,01d/10m/20 11:51,Technical Product Manager,אסף,ניסן,JB-31225
(972) 058-7816298,kovernaigbfddeatriss@gmail.com,In Progress,19d/07m/20 17:15,Technical Product Manager,בטי,קוברנייג,JB-31225
(972) 058-7816301,benderbfddarak@gmail.com,In Progress,14d/07m/20 22:29,Technical Product Manager,ברק,בן,JB-31225
(972) 058-7816303,gabi.kostfddinsky@gmail.com,Rejected,06d/09m/20 14:17,Technical Product Manager,גדי,קוסלי,JB-31225
(972) 058-7816304,guyl.razfd007@gmail.com,Rejected,15d/09m/20 09:04,Technical Product Manager,גיא,חן,JB-31225
(972) 058-7816306,gilad.nfdaor1@gmail.com,Rejected,01d/10m/20 08:53,Technical Product Manager,גילת,נחל,JB-31225
(972) 058-7816308,bereslafdvich@012.net.il,In Progress,14d/07m/20 12:53,Technical Product Manager,דויד,ברסל,JB-31225
(972) 058-7816311,shmidtdafdn77@gmail.com,Rejected,06d/09m/20 14:17,Technical Product Manager,דן,שמטוב,JB-31225
(972) 058-7816317,dananofdfdah2@gmail.com,Rejected,02d/08m/20 16:11,Technical Product Manager,דן,נוח,JB-31225
(972) 058-7816318,dafigfdfmorel@gmail.com,Rejected,02d/08m/20 08:47,Technical Product Manager,דן,מור,JB-31225
(972) 058-7816326,brogfnfer@gmail.com,In Progress,13d/08m/20 12:42,Technical Product Manager,טל,ברן,JB-31225
